t,phi,lhs,rhs,rel_err
0.5254741899355776,0.9498842983784701,0.6612412480901425,0.6612412480901425,0.0
0.6207757054866972,2.5544241031787953,0.9405486297158228,0.9405486297158226,5.901996927902596e-17
0.5075148595297087,2.3874075931458765,0.8785686129162388,0.8785686129162388,0.0
0.40634721240626376,3.9710790604468347,0.7943725332889845,0.7943725332889848,2.0964150535802868e-16
0.1842666574994427,1.08871533945879,0.22902787320623375,0.22902787320623377,6.059431812178539e-17
0.6670118531160064,0.36073933414558934,0.43641951604929385,0.43641951604929374,1.27196766390685e-16
0.04673044321202335,5.430430974601238,0.03398754647565738,0.03398754647565735,5.103997363326165e-16
0.18966063824919274,4.336929521899301,0.4411815093331649,0.44118150933316475,1.8873575860589078e-16
0.7713569746533152,5.586550952145814,0.8730264442945019,0.8730264442945024,2.5433892223558803e-16
0.64483203423528,5.080251196869557,0.8674979266719804,0.8674979266719804,0.0
0.04434519212133337,1.8912662337532766,0.11324244613144219,0.11324244613144209,4.2892271393512715e-16
0.7753680627721933,5.618559775071218,0.8673992455591533,0.867399245559153,1.2799446509887974e-16
0.16611410205204338,0.06058591464233946,0.0008758368104452297,0.0008758368104454055,1.0039404046498933e-13
0.33207481050849974,2.7403617768403934,0.7408782184482923,0.740878218448292,1.4985229650163375e-16
0.8524401601674898,3.624496289719113,0.993272561660372,0.9932725616603718,1.117742568836582e-16
0.7626670993180615,0.8027509819100416,0.8920867521847509,0.8920867521847505,1.8667854139289414e-16
0.34739690213018065,5.685007087833216,0.22074061236094555,0.22074061236094572,3.7721525711241815e-16
0.09741871362220071,5.355634696315594,0.08735419864926364,0.08735419864926369,3.177360223641966e-16
0.9887691272114552,2.9022501452968923,0.9999676486356256,0.9999676486356256,0.0
0.2323948250930598,4.410138013948614,0.5058396011392423,0.5058396011392423,0.0
0.8681448052811754,0.339157098568017,0.8504998232090806,0.8504998232090804,1.3053771374532404e-16
0.42725127686471837,4.994263356192363,0.6528144570355303,0.6528144570355302,8.503358133846683e-17
0.3914044705159812,2.60212085692027,0.7970287000314191,0.797028700031419,6.964761899925255e-17
0.7335577414636014,0.018773381774213154,0.003628454463991737,0.003628454463992083,4.768935877407012e-14
0.3465777021100006,4.370374006763598,0.6843385927743878,0.6843385927743877,8.111649966460201e-17
0.9464807594745634,4.909379605219715,0.9981221797370843,0.9981221797370843,0.0
0.6635191515590032,3.545420070067481,0.9574451937028697,0.9574451937028695,1.1595682258651553e-16
0.19101061342394837,2.9408853346949235,0.5361167953072905,0.5361167953072906,1.0354301845634223e-16
0.22273822093425652,6.007456824484762,0.027098122407660186,0.027098122407660265,1.472376548723089e-15
