p,p_mod_20,principal,nonprincipal
5689,9,True,False
5701,1,True,False
5741,1,True,False
5743,3,False,True
5749,9,True,False
5783,3,False,True
5801,1,True,False
5807,7,False,True
5821,1,True,False
5827,7,False,True
5843,3,False,True
5849,9,True,False
5861,1,True,False
5867,7,False,True
5869,9,True,False
5881,1,True,False
5903,3,False,True
5923,3,False,True
5927,7,False,True
5981,1,True,False
5987,7,False,True
6007,7,False,True
6029,9,True,False
6043,3,False,True
6047,7,False,True
6067,7,False,True
6089,9,True,False
6101,1,True,False
6121,1,True,False
6143,3,False,True
6163,3,False,True
6203,3,False,True
6221,1,True,False
6229,9,True,False
6247,7,False,True
6263,3,False,True
6269,9,True,False
6287,7,False,True
6301,1,True,False
6323,3,False,True
6329,9,True,False
6343,3,False,True
6361,1,True,False
6367,7,False,True
6389,9,True,False
6421,1,True,False
6427,7,False,True
6449,9,True,False
6469,9,True,False
6481,1,True,False
6521,1,True,False
6529,9,True,False
6547,7,False,True
6563,3,False,True
6569,9,True,False
6581,1,True,False
6607,7,False,True
6661,1,True,False
6689,9,True,False
6701,1,True,False
6703,3,False,True
6709,9,True,False
6761,1,True,False
6763,3,False,True
6781,1,True,False
6803,3,False,True
6823,3,False,True
6827,7,False,True
6829,9,True,False
6841,1,True,False
6863,3,False,True
6869,9,True,False
6883,3,False,True
6907,7,False,True
6947,7,False,True
6949,9,True,False
6961,1,True,False
6967,7,False,True
6983,3,False,True
7001,1,True,False
7027,7,False,True
7043,3,False,True
7069,9,True,False
7103,3,False,True
7109,9,True,False
7121,1,True,False
7127,7,False,True
7129,9,True,False
7187,7,False,True
7207,7,False,True
7229,9,True,False
7243,3,False,True
7247,7,False,True
7283,3,False,True
7307,7,False,True
7309,9,True,False
7321,1,True,False
7349,9,True,False
7369,9,True,False
7481,1,True,False
7487,7,False,True
7489,9,True,False
7507,7,False,True
7523,3,False,True
7529,9,True,False
7541,1,True,False
7547,7,False,True
7549,9,True,False
7561,1,True,False
7583,3,False,True
7589,9,True,False
7603,3,False,True
7607,7,False,True
7621,1,True,False
7643,3,False,True
7649,9,True,False
7669,9,True,False
7681,1,True,False
7687,7,False,True
7703,3,False,True
7723,3,False,True
7727,7,False,True
7741,1,True,False
7789,9,True,False
7823,3,False,True
7829,9,True,False
7841,1,True,False
7867,7,False,True
7883,3,False,True
7901,1,True,False
7907,7,False,True
7927,7,False,True
7949,9,True,False
7963,3,False,True
8009,9,True,False
8069,9,True,False
8081,1,True,False
8087,7,False,True
8089,9,True,False
8101,1,True,False
8123,3,False,True
8147,7,False,True
8161,1,True,False
8167,7,False,True
8209,9,True,False
8221,1,True,False
8243,3,False,True
8263,3,False,True
8269,9,True,False
8287,7,False,True
8329,9,True,False
8363,3,False,True
8369,9,True,False
8387,7,False,True
8389,9,True,False
8423,3,False,True
8429,9,True,False
8443,3,False,True
8447,7,False,True
8461,1,True,False
8467,7,False,True
8501,1,True,False
8521,1,True,False
8527,7,False,True
8543,3,False,True
8563,3,False,True
8581,1,True,False
8609,9,True,False
8623,3,False,True
8627,7,False,True
8629,9,True,False
8641,1,True,False
8647,7,False,True
8663,3,False,True
8669,9,True,False
